Column1,Column2,列1
0.9024274,hikakinさんの元気が出て嬉しく思います,
0.90241003,ほんとまだ全然人気出ない頃にヒカキンを友達から勧められて観てたけどそのヒカキンがいまこうしてhikakinpremiumのラーメンが出るそして今となってはyoutube界を代表するくらいの人となってるほんとにすげーこれからも応援してます,
0.9023209,味噌ラーメンで良かった他の味だと食べないので食べてみます,
0.90222156,夢を持つ事楽しさも夢を叶える楽しさも自ら体験して映像化してくれるhikakinさんは本当に尊敬しますこれからも応援してます,
0.90212435,ラーメンに対する想いだったり幼少期からの思い出の味噌ラーメンのことも知れて感動で涙が出ました絶対買います,
0.9021035,私もラーメン大好きなので絶対買いますおめでとうございますここまで努力できるのが本当に尊敬します,
0.9019515,ラーメンの中では味噌が0番好きだから地元でも売られるようになったら絶対買う,
0.90148544,世の中の色んなものを見たり食べたりしてきた人がこれは良いと思って作ったものたち興味あるわ〜,
0.9010936,いつでも視聴者のこと考えていて本当にすごいと思う,
0.90091753,じゃあ次は卵とネギを使ったラーメンを作ってください,
0.90090513,ヒカキンさんみたいな人も最初は苦労してたマジ尊敬,
0.90088475,hikakinさんが作ったからとかいう補正は一切抜きにしてラーメンとして美味しそう,
0.900882,とてつもないプレッシャーの中で時間と労力を割いて商品開発している姿が容易に想像出来ます一週間休むのも納得です応援してます,
0.90081763,自分の夢の中にみんなを笑顔にしたいという想いが込められてるのって本当に素敵優しさが味にも出てそう,
0.90042925,これこそホントのyoutuberだと思います誰かのことを取り上げるわけでもなく自分の夢をちゃんと実行して視聴者にお届けする素晴らしいですhikakin,
0.9004113,hikakinさんみたいな色んなことに夢を見てチャレンジできる人になりたいと思った,
0.90033406,嬉しいそうに紹介してるhikakinさん見てるとこっちまで嬉しくなります発売日絶対買います,
0.9002027,これだけ魂込めて完成させたラーメン本当に凄いです発売日に近所のセブンイレブンにも並ぶかな田舎だから地域差ありそうですよね見付けたら絶対食べます楽しみです,
0.9001933,どんな事も諦めず前を向いて立ち止まらず頑張りつづけたら夢も叶うって教えてくれたヒカキンさんやっぱりすごいです,
0.90018904,店舗を作るんじゃなくてそれなりに誰でも手に入れられる商品を作ってくれるところに言葉に上手く出来ない優しさを感じる,
0.9000898,0日まで待ちきれない私もラーメン大好きです本当にすごい行動力だよhikakinさんおめでとう,
0.89972395,youtubeもやってて忙しいはずなのに0年くらい努力してんのはすごいなと思った必ず食べます,
0.89937687,本当に努力してみんなを明るく元気にさせるラーメンにしたいっていう気持ちがすごい伝わった,
0.89920694,味噌ラーメン大好きだし大好きなhikakinが作ったラーメンなのが最高,
0.8990664,先日本当に生きているのが辛くなったんですが今日hikakinさんの夢が叶った姿を拝見して凄く元気をもらいましたいつも視聴者を気づかってくださる姿努力し続ける姿尊敬していますどうぞこれからも無理はなさらず楽しさを追い求めて活動してくださいいつもありがとうございます,
0.8990632,自分の好きな事ラーメンで視聴者をも一緒に喜ばせれるのってhikakinさん位だと思う幸せを独り占めせず皆んなで分かち合える形に出来るhikakinさんはやっぱり凄い絶対買います頂きます,
0.899045,一年間夢を叶えるために頑張ってたヒカキンさん凄いし尊敬した,
0.8990209,ヒカキンのyoutubeほとんど見てないけどテレビでヒカキン見て知ってました人柄がいいよねえヒカキンラーメン食べまーすう,
0.8988754,セブンイレブンに販売するというのもまた身近に感じられるからすごくうれしい,
0.89883333,白味噌も入ったベースのニンニクのパンチあるラーメンの味の意味がわかりましたニューミサ僕も大ファンですコレは試してみたい,
0.89874953,エビとかカニを入れずにアレルギーの人でもなるべく楽しめるように作ってるの好き,
0.8986182,実際口に合う合わないは絶対あると思うけどここまで頑張った過程を考えるとそんなの関係なく食べたいって思う,
0.89840066,活動休止中も休まずに夢を叶えるために行動してたと思うと本当に尊敬する,
0.89825386,まずyoutubeを0年間休まずにやってるのだけでも凄いのにyoutubeをやりながら他の夢を実現させるためにも全力を注いで頑張るヒカキンさん本当に尊敬します,
0.89815235,味噌ラーメンが一番好きだから嬉しい,
0.898116,この人は周りからすると小さな事に見えることも好きな事に諦めず取り組み続けてこうした結果を残せているから尊敬します希望の星です,
0.8980789,あたしもラーメンは大好きです ́楽しみにしてます,
0.89803505,なんか福くんが仮面ライダーになるって夢を叶えた時くらい勝手に感動した,
0.89791286,コンビニで買えるのは嬉しいヒカキンさんの本気のラーメン絶対食べる,
