Column1,Column2
10,この機会で思ったけどヒカキンさんが存在してないどyoutubeがつまらなくなったヒカキンさんが活動休止してから少し寂しく感じた事があった私はヒカキンさんを0年前くらいからしか見てないけど本当にいい人なのは分かる誰よりも長生きして欲しいヒカキンさんにどれだけ救われたか本当にありがとうございます
10,同い年で一番尊敬と安心感がある人柄ですラーメン発売おめでとうございます当日買いに行きます
10,ヒカキンは今回夢を叶えたけどヒカキン自身もまた色んな人の夢になってるんだよね素敵な世界だ
10,味噌ラーメン味のカップ飯は売ってないからめちゃくちゃ嬉しいです絶対買います
10,ラーメンメシめちゃくちゃ美味しそうなので買って食べて見たいと思います夢を現実に叶えられて良かったですねおめでとうございます
10,素敵自分もラーメン好きなので発売を楽しみに待ってます
10,おめでとうございますまさかの誕生日に発売絶対買います早く食べたいです
10,おめでとうございます私もラーメン大好きなので楽しみ過ぎます
10,味噌ラーメン大好きなので楽しみです
10,あのhikakinさんがここまで上り詰めたのはこのラーメンのおかげでもあるのはすごすぎるそしてそのラーメンを作ったのももっとすごいし感動しました
10,麺処くるり行きたくなるなぁラーメンひたすら食べたくなるhikakin頑張って
10,おめでとうございますセブンでかえるの有り難い元気がない時に私もヒカキンラーメンでパワーもらいます✾
10,何かヒカキンクラスが初の商品開発って凄いな普通もっと格下のインフルエンサーでも出してるのにそれだけ慎重に製作してたって事かなこれはさすがに食べてみたい
10,普通にいい話なんだけど恩師を紹介するかのようなテンションでラーメンについて語ってるのなかなかにシュールで笑った
10,ヒルクライムのライブで初めてヒカキンさんを見て知ってあれからもう何年も経ってるけど今では今でもヒカキンさんtocさんの大ファンです
10,hikakin様がラーメン食べてた所の店長びっくりするやろなぁ
10,hikakinの夢って俺らに想像できんよなどんな凄い事なんやろ本当に楽しみすぎる
10,本当に純粋に発売が楽しみになるヒカキンの熱意人柄息子がカレンダーに書いていました
10,小さい頃にhikakinのグラセフ実況見てたけど母がそんなアマチュア見てないでテレビでもみなさいとか言われてたけど今は明らかにアマチュアじゃないだろババァ
10,hikakinさん大好き𓂃𓈒𓏸𓂃𓈒𓏸𓂃ラーメン美味しそうですね
10,ヒカキンのラーメンだね買います
10,ラーメン好きアピール多すぎて嫌味が差してくるけどめちゃくちゃうまそう
10,ヒカキンは本当に充実してるなぁそうに決まってる
10,あのラーメン作るのはいいんですけどちゃんと休んでくれませんか応援してます早くラーメン食べたいです
10,このラーメン好きアピールがしたいから何ヵ月前からラーメン旅とか始めたのかな
9,こうゆう有名人の商品ってぼったくり多いけどヒカキンさんはちゃんと商品として出すのは尊敬
9,ラーメンの無い世界なんて考えられないほんとにラーメンって多くの人を救ってると思う
9,服とかコスメじゃなくてラーメン出すの好き
9,他のyoutuberがやるぼったくりアパレルとかじゃなくて本当に自分がやりたいことを実現できるのは尊敬ですo゚▽゚o
9,東京の店舗だと地方民は食べに行くの大変だけどセブンだったら全国のみんなが気軽に食べられるし0時間いつでも買いに行けるからすごくありがたいですあー早く食べたい
9,やっぱり好きなものを突き詰めるって大変だしやっぱり飽きもあるけど大事だよなマジでhikakinを見るとほんとに頑張ろうって気になれるわガチで元気もらえる
9,好きなことを極められる人は本当に努力をしてきた人だと思います尊敬
9,これ見たらヒカキンがどれだけラーメンを愛し夢に本気だったか分かる素直におめでとう
9,本当にhikakinさんは聖人だなたとえ0週間休んだとしても視聴者の事を考えていて本当に尊敬するわ
9,アレルギーの関係で小麦がたくさん食べれないのでメシ版が凄く嬉しい味噌大好きです絶対食べます
9,ヒカキンが食べてるものなんでも美味しそうに見えるのなんでだろう
9,ここまで何度も何度も試食を繰り返し人生を支えてくれたラーメンをヒカキンさんや他の方々との協力でやっと出来たラーメン情熱努力いかに本気であったかが伝わる
9,夢を持つ事楽しさも夢を叶える楽しさも自ら体験して映像化してくれるhikakinさんは本当に尊敬しますこれからも応援してます
9,味噌ラーメンあまり好きじゃないが見かけたら0食食べてみます
9,本当に心からおめでとうと伝えたいヒカキンはほんと凄い
9,凄く思いの詰まったラーメンに仕上がったと思いますセブンが無くて買いに行けないのが残念ですが出かけた際に買いたいと思います
9,お店を出すのではなく全国民が気軽に手に出来るようにセブンで販売するところがヒカキンらしくて心暖まるね夢に向かって努力して実現したヒカキンを誇らしく尊敬する
9,向上心あって素晴らしいラーメン旅もしてるくらいだから好きなんやね
9,0月0日になったらすぐセブン行って買ってきすラーメン好きだしめっちゃ楽しみ
9,こうやってがんばってるヒカキン見てると自分も諦めないでがんばるぞって思う
9,インスタで見ましたラーメンとカップ飯絶対食べますψч☆
9,数百年後とかhikakinの人生大河ドラマになってもいいと思う
9,すごいおめでとうございます絶対買って食べる美味しそうかっこいい大好き
9,ヒカキンさんの努力は本当にすごいこれからも頑張ってください
9,もうすまんけどhikakinさん超えるyoutuberはほんとにいないもう俺が決めたこの人は人としてもyoutuberとしても最高って感じで大好き
9,私も同郷なのであのミサのガツンと感のある味噌ラーメンは脳に刻まれてます笑おめでとうございます楽しみにしています♪
9,キタ━━━━゚゚━━━━やっぱりヒカキンさんが0番だよねどんなご報告なのか気になるけどファンの皆さんには喜んでいただけるって言ってたから楽しみだなぁ
9,ラーメンはもちろん食べますtシャツも買いたかったのにサイズがもう残ってないみたいです
9,hikakinさんの夢が叶って良かった絶対買って食べます
9,絶対買いますhikakinさんこれからも頑張ってください
9,ヒカキンさんかっこいい絶対食べます
9,食べたかったけどたまごアレルギーだつらいたまごなしのもだしてヒカキン
8,0年振りくらいにhikakintv開いたけどオープニングが全く変わってなくてなんか安心したいつでも帰ってきていいっていう安心感ある
8,夢はいくらでもあるけどそれを叶えれたっていうのが本当に凄いことだと心から思う
8,hikakinさんが休止したと聞いてどうしたのだろうかと見に来たけどいつ見ても安心するすごいhikakinさんで安心した
8,エビとかカニを入れずにアレルギーの人でもなるべく楽しめるように作ってるの好き
8,0人の人間がこうやって死ぬ気で頑張っているのを見てるともはや伝記に見えてくるこの方は本当に澄んだ晴れた心を持っていると思う
8,ヒカキンてほんとに人として出来すぎてるよな
8,味噌だからって安直にコーン放り込んでないヒカキン信用できる食べたい
8,すごすぎる夢を叶えていくのすごいよo̴̶̷̤◦o̴̶̷̤発売されたら絶対食べる人気すぎてすぐ無くなりそうで怖い
8,ラーメン好きだから見かけたら食べてみるわ
8,ラーメンを初めて作った人ラーメンを広めた人ラーメン屋の人みんなヒカキンさんを支えてヒカキンさんをこんな大物にまでさせてくれてありがとう
8,最近味噌ラーメンハマってるからマジで嬉しい
8,夢を見るのは簡単だけど夢を叶えるのは難しいでもそれを叶えたhikakinさんは凄すぎる
8,本当に努力の塊でしかないhikakinさんが頂点で本当によかったぁぁぁぁぁぁぁぁぁぁぁぁぁ
8,ラーメン大好きだから必ず食べます
8,感動だなぁラーメンの色んな袋付いてないの楽すぎて神すぎるめっちゃ良い急いでる時に0袋とか面倒だから
